VALUE,EVT_NAME,EVT_LF,EVT_PHYS,R,G,B,RED,GREEN,BLUE
7096,California Maritime Chaparral,Shrub,Shrubland,107,77,54,0.419608,0.301961,0.211765
7097,California Mesic Chaparral,Shrub,Shrubland,59,30,19,0.231373,0.117647,0.07451
7098,California Montane Woodland and Chaparral,Shrub,Shrubland,66,37,24,0.258824,0.145098,0.094118
7099,California Xeric Serpentine Chaparral,Shrub,Shrubland,66,37,24,0.258824,0.145098,0.094118
7100,Chihuahuan Mixed Desert and Thornscrub,Shrub,Shrubland,74,44,29,0.290196,0.172549,0.113725
7101,Madrean Oriental Chaparral,Shrub,Shrubland,145,117,84,0.568627,0.458824,0.329412
7102,Colorado Plateau Pinyon-Juniper Shrubland,Shrub,Shrubland,121,255,94,0.47451,1,0.368627
7103,Great Basin Semi-Desert Chaparral,Shrub,Shrubland,89,59,40,0.34902,0.231373,0.156863
7104,Mogollon Chaparral,Shrub,Shrubland,89,59,40,0.34902,0.231373,0.156863
7105,Northern and Central California Dry-Mesic Chaparral,Shrub,Shrubland,99,69,47,0.388235,0.270588,0.184314
7106,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrub,Shrubland,117,87,61,0.458824,0.341176,0.239216
7107,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,245,175,54,0.960784,0.686275,0.211765
7108,Sonora-Mojave Semi-Desert Chaparral,Shrub,Shrubland,89,59,40,0.34902,0.231373,0.156863
7109,Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrub,Shrubland,242,168,48,0.94902,0.658824,0.188235
7110,Southern California Dry-Mesic Chaparral,Shrub,Shrubland,99,69,47,0.388235,0.270588,0.184314
7111,Western Great Plains Mesquite Shrubland,Shrub,Shrubland,150,123,89,0.588235,0.482353,0.34902
7112,California Central Valley Mixed Oak Savanna,Tree,Hardwood,138,227,212,0.541176,0.890196,0.831373
7113,California Coastal Live Oak Woodland and Savanna,Tree,Hardwood,131,222,110,0.513725,0.870588,0.431373
7114,California Lower Montane Foothill Pine Woodland and Savanna,Tree,Conifer,121,217,207,0.47451,0.85098,0.811765
7115,Inter-Mountain Basins Juniper Savanna,Tree,Conifer,78,255,59,0.305882,1,0.231373
7116,Madrean Juniper Savanna,Tree,Conifer,145,117,84,0.568627,0.458824,0.329412
7117,Southern Rocky Mountain Ponderosa Pine Savanna,Tree,Conifer,214,255,181,0.839216,1,0.709804
7118,Southern California Oak Woodland and Savanna,Tree,Hardwood,131,222,110,0.513725,0.870588,0.431373
7119,Southern Rocky Mountain Juniper Woodland and Savanna,Tree,Conifer,121,255,94,0.47451,1,0.368627
7120,Willamette Valley Upland Prairie,Herb,Grassland,203,255,171,0.796078,1,0.670588
7121,Apacherian-Chihuahuan Semi-Desert Shrub-Steppe,Shrub,Shrubland,255,204,51,1,0.8,0.2
7122,Chihuahuan Gypsophilous Grassland and Steppe,Herb,Grassland,255,204,51,1,0.8,0.2
7123,Columbia Plateau Steppe and Grassland,Herb,Grassland,199,176,129,0.780392,0.690196,0.505882
7124,Columbia Plateau Low Sagebrush Steppe,Shrub,Shrubland,135,106,76,0.529412,0.415686,0.298039
7125,Inter-Mountain Basins Big Sagebrush Steppe,Shrub,Shrubland,230,151,41,0.901961,0.592157,0.160784
7126,Inter-Mountain Basins Montane Sagebrush Steppe,Shrub,Shrubland,219,140,37,0.858824,0.54902,0.145098
7127,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrub,Shrubland,130,101,72,0.509804,0.396078,0.282353
7128,Northern California Coastal Scrub,Shrub,Shrubland,201,116,30,0.788235,0.454902,0.117647
7129,California Central Valley and Southern Coastal Grassland,Herb,Grassland,255,235,153,1,0.921569,0.6
7130,California Mesic Serpentine Grassland,Herb,Grassland,255,235,153,1,0.921569,0.6
7131,California Northern Coastal Grassland,Herb,Grassland,255,248,148,1,0.972549,0.580392
7132,Central Mixedgrass Prairie Grassland,Herb,Grassland,255,241,140,1,0.945098,0.54902
7133,Chihuahuan Sandy Plains Semi-Desert Grassland,Herb,Grassland,255,233,135,1,0.913725,0.529412
7134,Columbia Basin Foothill and Canyon Dry Grassland,Herb,Grassland,255,226,130,1,0.886275,0.509804
